"Ann Answer","Correct Answer","Answered Correctly","Raw Sum","Ideal Sum",Variance,"Ideal Output","Raw Output"
0,0,1,-8.0000163316727,-8,1.6331672668457E-5,"1 -1 -1 -1 -1 -1 -1 -1 -1 -1","0.99997520446777 -1 -0.99999463558197 -1 -1 -0.99999701976776 -1 -1 -0.99999988079071 -1"
6,6,1,-7.9986555576324,-8,-0.0013444423675537,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-0.99999994039536 -1 -0.99999904632568 -0.99999862909317 -0.99985784292221 -0.99999928474426 0.99989002943039 -1 -0.99869084358215 -1"
9,9,1,-8.0015206336975,-8,0.0015206336975098,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-0.99998962879181 -1 -0.99997973442078 -0.99547493457794 -0.99828147888184 -0.99872475862503 -1 -0.99982899427414 -0.999980032444 0.99073892831802"
0,0,1,-7.9914487600327,-8,-0.0085512399673462,"1 -1 -1 -1 -1 -1 -1 -1 -1 -1","0.99999982118607 -1 -1 -1 -1 -0.99198150634766 -0.99999964237213 -0.99999523162842 -0.9999657869339 -0.99950641393661"
1,1,1,-7.999597966671,-8,-0.00040203332901001,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99999898672104 -1 -0.99973034858704 -1 -0.9999822974205 -0.99990749359131 -0.99999904632568 -0.99999123811722 -0.99998652935028"
5,5,1,-7.9877805113792,-8,-0.012219488620758,"-1 -1 -1 -1 -1 1 -1 -1 -1 -1","-1 -0.99999988079071 -0.99999767541885 -0.98785722255707 -0.99999994039536 0.99999922513962 -1 -1 -0.99999135732651 -0.99993366003036"
9,9,1,-7.9935487508774,-8,-0.0064512491226196,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-0.99999994039536 -1 -0.99999886751175 -0.99999886751175 -0.99999338388443 -1 -0.99896121025085 -0.99441611766815 -0.9998699426651 0.99968957901001"
7,7,1,-8.0031571984291,-8,0.0031571984291077,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -1 -1 -0.99997878074646 -1 -1 -1 0.99682140350342 -1 -0.99999982118607"
3,3,1,-6.843878544867,-8,-1.156121455133,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-0.99999707937241 -1 -0.99832725524902 0.97700583934784 -0.99985468387604 -0.91468191146851 -0.99215358495712 -0.99997955560684 0.084099553525448 -0.99998986721039"
4,4,1,-7.999521791935,-8,-0.00047820806503296,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-0.99985307455063 -0.99999988079071 -0.99999982118607 -1 0.99999213218689 -0.99983364343643 -1 -0.99999928474426 -1 -0.99982821941376"
9,9,1,-7.9453567862511,-8,-0.054643213748932,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-1 -1 -0.99999988079071 -0.99706834554672 -0.99919807910919 -0.99999392032623 -1 -0.93554311990738 -0.99992454051971 0.98637109994888"
6,6,1,-7.987054169178,-8,-0.012945830821991,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-1 -0.99999982118607 -1 -0.99991738796234 -0.99999839067459 -0.98725819587708 0.99997144937515 -1 -1 -0.99985182285309"
6,6,1,-7.9263369441032,-8,-0.073663055896759,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-0.99999976158142 -1 -0.99999994039536 -0.99943876266479 -0.92695254087448 -0.99997073411942 0.99999994039536 -0.99999958276749 -0.99998754262924 -0.9999880194664"
5,5,1,-8.0022855997086,-8,0.0022855997085571,"-1 -1 -1 -1 -1 1 -1 -1 -1 -1","-0.99999821186066 -1 -1 -0.99997609853745 -0.99998331069946 0.99748432636261 -0.99999588727951 -1 -0.99981641769409 -1"
4,4,1,-7.954823076725,-8,-0.045176923274994,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-0.99992704391479 -1 -0.99999994039536 -1 0.99778699874878 -0.99999988079071 -1 -0.99996429681778 -1 -0.95271891355515"
0,0,1,-7.9989936947823,-8,-0.0010063052177429,"1 -1 -1 -1 -1 -1 -1 -1 -1 -1","0.99999397993088 -1 -0.99971306324005 -1 -0.99998396635056 -0.99999779462814 -0.99995923042297 -1 -0.99934422969818 -0.99998939037323"
7,7,1,-7.9999998211861,-8,-1.7881393432617E-7,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -1 -1 -0.99999988079071 -1 -0.99999988079071 -1 0.99999988079071 -1 -0.99999994039536"
4,4,1,-7.9994650483131,-8,-0.00053495168685913,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-0.99999994039536 -1 -0.99999850988388 -0.99999237060547 0.99993789196014 -0.99999922513962 -1 -0.99999743700027 -0.99999910593033 -0.99941635131836"
0,0,1,-7.9942797422409,-8,-0.0057202577590942,"1 -1 -1 -1 -1 -1 -1 -1 -1 -1","0.999791264534 -1 -0.99999564886093 -0.99999892711639 -1 -0.99999928474426 -0.99999994039536 -1 -0.99409705400467 -0.99998015165329"
1,1,1,-8.0045712590218,-8,0.004571259021759,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99531561136246 -0.99999982118607 -0.99994742870331 -1 -0.99994003772736 -0.99999976158142 -0.99999988079071 -1 -0.99999994039536"
3,3,1,-7.9425173997879,-8,-0.057482600212097,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-1 -0.9999977350235 -1 0.9990234375 -0.99999415874481 -0.94229435920715 -1 -0.999984562397 -0.99999976158142 -0.99927026033401"
1,1,1,-7.9993300437927,-8,-0.00066995620727539,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99981373548508 -1 -0.99993258714676 -1 -0.99924999475479 -1 -0.99996119737625 -1 -1"
3,3,1,-8.0007176399231,-8,0.0007176399230957,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-1 -0.99998033046722 -1 0.99921196699142 -1 -0.99999511241913 -1 -0.9999675154686 -0.99999779462814 -0.99998885393143"
4,4,1,-8.0618687272072,-8,0.061868727207184,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-0.99999940395355 -1 -1 -1 0.93788033723831 -0.99975126981735 -0.99999839067459 -1 -1 -1"
7,7,1,-7.9873284697533,-8,-0.012671530246735,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -0.99999976158142 -0.98794227838516 -0.99969655275345 -0.99999994039536 -0.99999952316284 -1 0.99994456768036 -0.99965101480484 -0.99998396635056"
2,2,1,-7.9999876022339,-8,-1.2397766113281E-5,"-1 -1 1 -1 -1 -1 -1 -1 -1 -1","-1 -1 0.99999928474426 -0.99999237060547 -1 -0.99999696016312 -0.99999988079071 -1 -0.9999977350235 -0.99999994039536"
7,7,1,-7.9999841451645,-8,-1.5854835510254E-5,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -1 -0.99999922513962 -0.99999624490738 -1 -0.9999994635582 -1 0.99996507167816 -0.99995738267899 -0.99999690055847"
1,1,1,-7.9971989989281,-8,-0.0028010010719299,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99790096282959 -0.99999988079071 -0.99621939659119 -0.99999994039536 -0.99889045953751 -0.99999952316284 -0.99999129772186 -0.99999952316284 -0.99999994039536"
2,2,1,-9.79035115242,-8,1.79035115242,"-1 -1 1 -1 -1 -1 -1 -1 -1 -1","-1 -0.99959057569504 -0.79382807016373 -0.99715083837509 -1 -0.99979400634766 -0.99999922513962 -1 -0.99998843669891 -1"
1,1,1,-7.9838073253632,-8,-0.016192674636841,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99999994039536 -0.99999994039536 -0.99432981014252 -0.99993938207626 -0.99999731779099 -0.99832022190094 -1 -0.99123346805573 -0.99998712539673"
1,1,1,-7.9996050596237,-8,-0.00039494037628174,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99999970197678 -1 -1 -1 -0.99999380111694 -1 -0.99961096048355 -1 -1"
7,7,1,-8.0001658201218,-8,0.00016582012176514,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -0.99999994039536 -0.99997073411942 -0.99991071224213 -0.99999994039536 -0.99999988079071 -1 0.99971348047256 -0.99999970197678 -0.99999839067459"
4,4,1,-7.9991806149483,-8,-0.00081938505172729,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-0.99999034404755 -0.99999177455902 -1 -0.99994915723801 0.9999965429306 -0.9999852180481 -1 -0.99984931945801 -0.99989938735962 -0.99951195716858"
2,2,1,-7.9996844530106,-8,-0.00031554698944092,"-1 -1 1 -1 -1 -1 -1 -1 -1 -1","-1 -0.99966168403625 0.99958461523056 -0.99999970197678 -0.99999570846558 -0.99961203336716 -1 -1 -1 -0.99999994039536"
3,3,1,-7.9563943147659,-8,-0.04360568523407,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-1 -0.95041984319687 -0.99999350309372 0.98647630214691 -1 -0.99254435300827 -0.99991810321808 -0.99999898672104 -0.99999696016312 -0.99999886751175"
5,5,1,-7.9445507526398,-8,-0.055449247360229,"-1 -1 -1 -1 -1 1 -1 -1 -1 -1","-0.99999105930328 -1 -1 -0.99996995925903 -0.99999952316284 0.85459846258163 -1 -1 -0.79919123649597 -0.99999743700027"
1,1,1,-7.9922216534615,-8,-0.0077783465385437,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99995219707489 -0.99999648332596 -0.99219954013824 -0.99999499320984 -0.99998688697815 -0.99999982118607 -1 -1 -0.99999612569809"
2,2,1,-8.001420378685,-8,0.0014203786849976,"-1 -1 1 -1 -1 -1 -1 -1 -1 -1","-1 -0.99997013807297 0.9983474612236 -0.99992048740387 -0.99999904632568 -1 -0.99988055229187 -1 -0.99999761581421 -1"
4,4,1,-7.9963523745537,-8,-0.0036476254463196,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-1 -0.99999994039536 -1 -0.99999284744263 0.99993425607681 -0.99764746427536 -0.99999994039536 -0.99997252225876 -0.99999928474426 -0.99867463111877"
4,4,1,-7.9950025677681,-8,-0.0049974322319031,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-0.99999994039536 -1 -0.99999922513962 -1 0.9978523850441 -1 -0.99997752904892 -1 -0.99997973442078 -0.99289852380753"
6,6,1,-8.0008905529976,-8,0.00089055299758911,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-0.9994689822197 -0.99999982118607 -0.99999982118607 -0.99962687492371 -1 -0.99925059080124 0.99745547771454 -1 -0.99999994039536 -1"
3,3,1,-7.9991211295128,-8,-0.00087887048721313,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-0.99971675872803 -1 -0.99999976158142 0.99985045194626 -0.99999934434891 -0.99999392032623 -0.99999874830246 -0.9999937415123 -0.99926948547363 -0.99999982118607"
5,5,1,-7.9965498447418,-8,-0.0034501552581787,"-1 -1 -1 -1 -1 1 -1 -1 -1 -1","-1 -1 -1 -0.99750417470932 -0.99935764074326 0.99999976158142 -0.99999994039536 -0.99999994039536 -0.99999755620956 -0.99969035387039"
5,5,1,-7.816505074501,-8,-0.18349492549896,"-1 -1 -1 -1 -1 1 -1 -1 -1 -1","-1 -1 -1 -0.74780917167664 -0.99999994039536 0.93128728866577 -1 -1 -0.99999564886093 -0.99998760223389"
6,6,1,-7.9997397661209,-8,-0.00026023387908936,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-1 -1 -0.99999004602432 -0.99995672702789 -0.99988514184952 -0.99994111061096 0.99999141693115 -1 -0.99995815753937 -1"
0,0,1,-7.8169170022011,-8,-0.18308299779892,"1 -1 -1 -1 -1 -1 -1 -1 -1 -1","0.99999910593033 -1 -0.99971389770508 -0.99999737739563 -1 -0.82582485675812 -0.99999606609344 -1 -0.99139773845673 -0.99998617172241"
4,4,1,-7.999286532402,-8,-0.00071346759796143,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-1 -1 -0.99999958276749 -0.9999988079071 0.99920803308487 -0.99999874830246 -1 -0.99999582767487 -0.99912875890732 -0.99937283992767"
1,1,1,-7.9989529848099,-8,-0.0010470151901245,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99993354082108 -1 -0.99999988079071 -1 -0.99984914064407 -1 -0.99903750419617 -1 -1"
9,9,1,-7.9981170892715,-8,-0.0018829107284546,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-1 -1 -0.99999964237213 -0.99798834323883 -0.9999725818634 -0.99983179569244 -0.99984377622604 -0.99999207258224 -0.99981641769409 0.99932754039764"
5,5,1,-6.0634008049965,-8,-1.9365991950035,"-1 -1 -1 -1 -1 1 -1 -1 -1 -1","-1 -1 -0.99999934434891 -0.99999433755875 -0.99999988079071 0.99993813037872 -1 0.93665391206741 -0.99999928474426 -1"
7,7,1,-8.0000069141388,-8,6.9141387939453E-6,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -1 -1 -0.99999916553497 -1 -1 -1 0.99999070167542 -1 -0.99999845027924"
8,8,1,-8.001108750701,-8,0.0011087507009506,"-1 -1 -1 -1 -1 -1 -1 -1 1 -1","-0.99865591526031 -0.99999994039536 -0.30699795484543 -0.9999948143959 -0.99984967708588 -0.99998831748962 -0.9999977350235 -1 0.083811357617378 -0.77943575382233"
4,9,-1,-7.5866312384605,-8,-0.41336876153946,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-0.99999994039536 -0.99999934434891 -0.99985963106155 -0.99994289875031 0.91173356771469 -0.51589739322662 -1 -0.99999463558197 -0.9999098777771 -0.98276108503342"
3,3,1,-6.1529375910759,-8,-1.8470624089241,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-0.99999892711639 -0.99999505281448 0.87007558345795 0.97677779197693 -0.99999964237213 -0.99985188245773 -1 -1 -0.99994617700577 -0.99999928474426"
7,7,1,-7.6424603462219,-8,-0.35753965377808,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -1 -0.99973440170288 -0.65268856287003 -0.98983138799667 -1 -1 0.99976515769958 -0.99999892711639 -0.99997222423553"
4,4,1,-7.6587745547295,-8,-0.34122544527054,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-1 -0.99998062849045 -1 -0.99995267391205 0.92507803440094 -0.59610116481781 -0.99999994039536 -0.99996984004974 -0.9999948143959 -0.98785352706909"
6,6,1,-7.3853924870491,-8,-0.6146075129509,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-0.99977248907089 -1 -0.99999862909317 -0.39079195261002 -0.99528211355209 -0.99989199638367 0.99826729297638 -0.99999350309372 -0.99999922513962 -0.99792987108231"
4,4,1,-7.9990034103394,-8,-0.00099658966064453,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-1 -1 -0.99999976158142 -0.99999535083771 0.99999004602432 -1 -0.99999791383743 -0.99999821186066 -0.99941223859787 -0.99958997964859"
3,3,1,-7.741081237793,-8,-0.25891876220703,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-0.99985980987549 -0.99998307228088 -0.99760890007019 0.99656051397324 -0.99999958276749 -0.99853193759918 -1 -0.99999898672104 -0.9848273396492 -0.75683212280273"
0,0,1,-7.9998987317085,-8,-0.00010126829147339,"1 -1 -1 -1 -1 -1 -1 -1 -1 -1","1 -1 -1 -1 -1 -0.99998879432678 -0.99996727705002 -0.99994307756424 -1 -0.99999958276749"
7,7,1,-8.0000249147415,-8,2.4914741516113E-5,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -1 -1 -0.99999988079071 -1 -0.99999976158142 -1 0.99997419118881 -1 -0.9999994635582"
0,0,1,-7.9999675750732,-8,-3.2424926757812E-5,"1 -1 -1 -1 -1 -1 -1 -1 -1 -1","0.9999994635582 -1 -0.99999994039536 -1 -1 -0.99999111890793 -0.99999994039536 -1 -0.99997615814209 -0.99999988079071"
2,2,1,-7.9871924519539,-8,-0.012807548046112,"-1 -1 1 -1 -1 -1 -1 -1 -1 -1","-0.99760866165161 -1 0.99996584653854 -0.98955005407333 -1 -0.99999958276749 -1 -1 -1 -1"
7,9,-1,-7.9235026836395,-8,-0.076497316360474,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-0.99999976158142 -0.99992698431015 -0.99999690055847 -0.99636340141296 -0.93199825286865 -0.99999892711639 -1 0.98954880237579 -0.99980467557907 -0.9849625825882"
1,1,1,-7.9952138066292,-8,-0.0047861933708191,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99993407726288 -0.99999994039536 -0.99997383356094 -0.99999994039536 -0.99524676799774 -0.99999862909317 -0.99998641014099 -0.99994242191315 -0.99999994039536"
7,7,1,-7.9988471269608,-8,-0.0011528730392456,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -0.99999016523361 -1 -0.99961292743683 -0.99926996231079 -0.9999777674675 -1 0.99998182058334 -0.99998980760574 -0.99998831748962"
3,3,1,-8.0013670921326,-8,0.0013670921325684,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-1 -0.99998635053635 -1 0.99553829431534 -1 -0.99781107902527 -1 -0.99999994039536 -0.99999898672104 -0.9991090297699"
2,2,1,-7.9894714355469,-8,-0.010528564453125,"-1 -1 1 -1 -1 -1 -1 -1 -1 -1","-1 -0.99999994039536 0.99980944395065 -0.99628013372421 -1 -0.99999976158142 -1 -0.99383544921875 -0.99995690584183 -0.99920868873596"
9,9,1,-9.2489560842514,-8,1.2489560842514,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-0.99999940395355 -0.99997711181641 -0.99999392032623 -0.99991858005524 -0.75480169057846 -0.99987798929214 -1 -0.95598822832108 -0.99384385347366 -0.54455530643463"
7,7,1,-7.3212723135948,-8,-0.67872768640518,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -1 -1 -0.98004156351089 -0.99999988079071 -0.99999755620956 -1 0.98045778274536 -0.98480647802353 -0.33688461780548"
7,7,1,-7.6607855558395,-8,-0.33921444416046,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-0.99999934434891 -1 -1 -0.99999743700027 -0.99995398521423 -0.99984151124954 -1 0.99174225330353 -0.99999964237213 -0.65273588895798"
6,6,1,-7.9703329205513,-8,-0.0296670794487,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-0.99999684095383 -0.9999812245369 -0.99998873472214 -1 -0.99999964237213 -0.97030693292618 0.99992519617081 -1 -0.99998807907104 -0.99999666213989"
2,2,1,-7.9999812245369,-8,-1.8775463104248E-5,"-1 -1 1 -1 -1 -1 -1 -1 -1 -1","-1 -0.99999994039536 0.99999994039536 -0.99999755620956 -0.99999207258224 -0.99999207258224 -1 -1 -0.99999952316284 -1"
7,7,1,-7.9794502258301,-8,-0.020549774169922,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-0.99999994039536 -1 -1 -0.99999976158142 -0.99999994039536 -0.99997955560684 -1 0.99956369400024 -1 -0.97903472185135"
8,8,1,-7.9514793753624,-8,-0.048520624637604,"-1 -1 -1 -1 -1 -1 -1 -1 1 -1","-0.99999952316284 -1 -1 -0.99999791383743 -0.99954289197922 -0.95220541954041 -0.99970585107803 -1 0.999651491642 -0.99967926740646"
4,4,1,-7.9765253663063,-8,-0.023474633693695,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-1 -0.99999618530273 -1 -0.9999760389328 0.99909210205078 -0.99965965747833 -0.99999928474426 -0.9782355427742 -0.9999982714653 -0.99775248765945"
7,7,1,-7.9994084239006,-8,-0.00059157609939575,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -1 -0.99999743700027 -0.99883407354355 -0.99999928474426 -0.99999934434891 -1 0.99847096204758 -0.99933713674545 -0.99971210956573"
3,3,1,-8.1088224649429,-8,0.10882246494293,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-1 -1 -1 0.8861283659935 -0.99997800588608 -0.99941605329514 -1 -0.99556046724319 -0.99999982118607 -0.99999648332596"
6,6,1,-7.9948416948318,-8,-0.0051583051681519,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-1 -1 -0.99999940395355 -1 -0.99484574794769 -0.99999988079071 0.99999982118607 -1 -0.99999684095383 -0.99999964237213"
1,1,1,-7.9967728257179,-8,-0.003227174282074,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99976074695587 -1 -0.99990481138229 -0.99994885921478 -0.9999994635582 -0.99997794628143 -1 -0.99671071767807 -0.99999177455902"
3,3,1,-8.003347992897,-8,0.0033479928970337,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-1 -0.99998331069946 -1 0.99648660421371 -1 -0.99988055229187 -1 -1 -0.99999326467514 -0.99997746944427"
6,6,1,-7.999941110611,-8,-5.8889389038086E-5,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-1 -0.99999797344208 -0.99999976158142 -0.9999942779541 -0.9999942779541 -0.99995756149292 0.99999988079071 -1 -0.99999737739563 -0.99999976158142"
4,9,-1,-7.9008039236069,-8,-0.099196076393127,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-1 -1 -0.99999761581421 -0.99998986721039 0.99794363975525 -0.99994271993637 -0.99999833106995 -0.99996840953827 -0.98899573087692 -0.90985488891602"
3,3,1,-8.00135409832,-8,0.0013540983200073,"-1 -1 -1 1 -1 -1 -1 -1 -1 -1","-1 -0.9999874830246 -0.99999994039536 0.9838330745697 -0.99999994039536 -0.99144017696381 -1 -0.99999982118607 -0.99965083599091 -0.99410897493362"
1,1,1,-7.9340579509735,-8,-0.065942049026489,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99845933914185 -0.97870641946793 -0.96836197376251 -0.99996709823608 -0.99861073493958 -0.99998694658279 -1 -0.98688596487045 -0.99999815225601"
9,4,-1,-9.7284350395203,-8,1.7284350395203,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-0.99999356269836 -1 -0.99990195035934 -0.99984955787659 -0.94009524583817 -0.99999874830246 -0.99853247404099 -0.99997365474701 -0.99983155727386 -0.79025828838348"
1,1,1,-7.9987558722496,-8,-0.0012441277503967,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99997127056122 -1 -0.99999225139618 -1 -0.99875181913376 -1 -0.99998325109482 -1 -0.99999982118607"
7,7,1,-7.6582852005959,-8,-0.34171479940414,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -0.99999916553497 -0.99999910593033 -0.97386795282364 -0.76813536882401 -0.99999690055847 -1 0.70554429292679 -0.62554204463959 -0.99628895521164"
6,6,1,-7.9621725678444,-8,-0.037827432155609,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-0.99999970197678 -1 -0.99999898672104 -1 -0.99999982118607 -0.96213179826736 0.99995774030685 -1 -1 -1"
9,9,1,-7.993013381958,-8,-0.0069866180419922,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-0.9999195933342 -1 -1 -0.99999958276749 -0.99992561340332 -0.9999874830246 -0.99978506565094 -0.99995273351669 -0.99330961704254 0.99986630678177"
6,6,1,-7.9999083280563,-8,-9.1671943664551E-5,"-1 -1 -1 -1 -1 -1 1 -1 -1 -1","-1 -0.99999994039536 -0.99999988079071 -0.99999916553497 -0.99999344348907 -0.9999293088913 0.99999994039536 -1 -0.99998706579208 -0.9999994635582"
0,0,1,-7.999998152256,-8,-1.8477439880371E-6,"1 -1 -1 -1 -1 -1 -1 -1 -1 -1","1 -1 -1 -1 -1 -0.99999928474426 -1 -1 -0.99999982118607 -0.99999904632568"
5,5,1,-7.9998179078102,-8,-0.00018209218978882,"-1 -1 -1 -1 -1 1 -1 -1 -1 -1","-1 -1 -1 -0.9999498128891 -1 0.99998164176941 -1 -1 -0.99999475479126 -0.99985498189926"
4,4,1,-7.999913752079,-8,-8.624792098999E-5,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-1 -1 -1 -1 1 -1 -0.99999994039536 -0.99999809265137 -1 -0.99991571903229"
9,9,1,-8.5306510925293,-8,0.5306510925293,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-1 -1 -0.99999660253525 -0.99996191263199 -0.99999088048935 -0.9997786283493 -0.99999994039536 -0.9999897480011 -0.99999743700027 0.46906405687332"
9,9,1,-7.9984141588211,-8,-0.001585841178894,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-0.99999958276749 -1 -0.9999994635582 -0.99999755620956 -0.99783647060394 -0.99999988079071 -0.99999368190765 -0.99997878074646 -0.99999845027924 0.99938970804214"
2,2,1,-7.9999679327011,-8,-3.206729888916E-5,"-1 -1 1 -1 -1 -1 -1 -1 -1 -1","-1 -1 1 -0.99997037649155 -1 -1 -0.99999970197678 -1 -0.99999785423279 -1"
1,1,1,-7.9977734684944,-8,-0.0022265315055847,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99999910593033 -0.99996221065521 -0.99996465444565 -1 -0.9999885559082 -0.99829763174057 -1 -0.9995596408844 -0.99999988079071"
